word,prevalence_l2
help,1.0
best,1.0
smile,1.0
full,1.0
coffee,1.0
water,1.0
room,1.0
music,1.0
amazing,1.0
history,1.0
sexy,1.0
happy,1.0
city,1.0
yellow,1.0
soon,1.0
start,1.0
phone,1.0
global,1.0
radio,1.0
group,1.0
problem,1.0
day,1.0
sun,1.0
me,1.0
player,1.0
sugar,1.0
eat,1.0
walk,1.0
sky,1.0
big,1.0
hospital,1.0
born,1.0
toy,1.0
right,1.0
actor,1.0
rule,1.0
positive,1.0
find,1.0
think,1.0
you,1.0
sport,1.0
read,1.0
hello,1.0
bath,1.0
five,1.0
milk,1.0
move,1.0
party,1.0
men,1.0
horse,1.0
woman,1.0
level,1.0
save,1.0
tomorrow,1.0
foot,1.0
back,1.0
two,1.0
airport,1.0
do,1.0
who,1.0
song,1.0
shirt,1.0
children,1.0
hotel,1.0
subject,1.0
broken,1.0
service,1.0
kids,1.0
document,1.0
check,1.0
present,1.0
this,1.0
between,1.0
often,1.0
online,1.0
hate,1.0
telephone,1.0
finished,1.0
promise,1.0
oxygen,1.0
verb,1.0
someone,1.0
motivation,1.0
inside,1.0
expensive,1.0
address,1.0
finish,1.0
biology,1.0
how,1.0
crying,1.0
darkness,1.0
believe,1.0
corner,1.0
manager,1.0
somebody,1.0
optimism,1.0
midnight,1.0
uncle,1.0
chocolate,1.0
magazine,1.0
technology,1.0
popularity,1.0
officially,1.0
cleaner,1.0
said,1.0
historic,1.0
vocabulary,1.0
us,1.0
experiment,1.0
surviving,1.0
intelligence,1.0
seventeen,1.0
secretary,1.0
snowboarding,1.0
username,0.996551724137931
grandmother,0.996527777777777
vegetable,0.996466431095406
disconnection,0.996415770609319
watching,0.99638989169675
personality,0.99638989169675
rooms,0.996376811594202
education,0.996350364963503
comfortable,0.996350364963503
cellphone,0.996336996336996
politician,0.996296296296296
situation,0.996296296296296
girlfriend,0.996296296296296
where,0.99628252788104
nights,0.996268656716418
celebrated,0.996268656716418
paradise,0.99625468164794
edition,0.99625468164794
classics,0.99625468164794
subway,0.996240601503759
coat,0.996240601503759
copyright,0.996226415094339
microphone,0.996226415094339
mysterious,0.996226415094339
mathematics,0.996226415094339
internet,0.996212121212121
protest,0.996212121212121
effective,0.996212121212121
notebook,0.996197718631178
cup,0.996197718631178
anyway,0.99618320610687
sweet,0.996168582375478
sunday,0.996168582375478
media,0.996168582375478
software,0.996168582375478
monkey,0.996153846153846
bigger,0.996153846153846
kindness,0.996153846153846
certification,0.996153846153846
neck,0.996138996138996
editor,0.996138996138996
photograph,0.996138996138996
unlocked,0.996138996138996
become,0.996124031007751
translate,0.996124031007751
speakers,0.996124031007751
mission,0.996108949416342
negative,0.99609375
trying,0.99609375
smartphone,0.99609375
physics,0.99609375
future,0.996078431372549
question,0.996078431372549
technical,0.996078431372549
your,0.996062992125984
champion,0.996062992125984
collection,0.996062992125984
programmer,0.996062992125984
kilometer,0.996062992125984
each,0.996047430830039
password,0.996047430830039
speedy,0.996047430830039
dirty,0.996031746031746
factory,0.996031746031746
speaker,0.996031746031746
zero,0.996031746031746
singer,0.996031746031746
bar,0.996031746031746
prince,0.996031746031746
helicopter,0.99601593625498
summary,0.99601593625498
anywhere,0.99601593625498
fantastic,0.996
basketball,0.996
registration,0.996
cook,0.995983935742971
rose,0.995983935742971
sixteen,0.995983935742971
closed,0.995967741935483
flying,0.995967741935483
goodness,0.995967741935483
live,0.995951417004048
company,0.995951417004048
listening,0.995951417004048
gentleman,0.995951417004048
except,0.995951417004048
physically,0.995951417004048
river,0.995934959349593
foreign,0.995934959349593
university,0.995934959349593
cancel,0.995934959349593
helpless,0.995934959349593
mouth,0.995918367346938
teach,0.995918367346938
writer,0.995918367346938
bear,0.995918367346938
nine,0.995918367346938
information,0.995918367346938
technically,0.995918367346938
in,0.995901639344262
account,0.995901639344262
second,0.995901639344262
traditional,0.995901639344262
facebook,0.995901639344262
simply,0.995884773662551
reply,0.995884773662551
website,0.995884773662551
enjoying,0.995884773662551
affect,0.995884773662551
audio,0.995867768595041
must,0.995867768595041
bored,0.995867768595041
shampoo,0.995867768595041
smooth,0.995867768595041
restaurant,0.995867768595041
about,0.995850622406639
teenager,0.995850622406639
policeman,0.995850622406639
alone,0.995833333333333
change,0.995833333333333
paint,0.995833333333333
t-shirt,0.995833333333333
broke,0.995833333333333
not,0.99581589958159
security,0.99581589958159
generally,0.99581589958159
unsafe,0.99581589958159
funny,0.995798319327731
sing,0.995798319327731
flexible,0.995798319327731
house,0.995780590717299
man,0.995780590717299
animal,0.995780590717299
final,0.995780590717299
pause,0.995780590717299
knew,0.995780590717299
one,0.995762711864406
young,0.995762711864406
want,0.995762711864406
important,0.995762711864406
personal,0.995762711864406
formal,0.995762711864406
dangerous,0.995762711864406
tired,0.995762711864406
psychologist,0.995762711864406
shop,0.995744680851063
end,0.995744680851063
student,0.995744680851063
but,0.995744680851063
sad,0.995744680851063
bag,0.995744680851063
reader,0.995744680851063
confuse,0.995744680851063
sports,0.995726495726495
volume,0.995726495726495
choose,0.995726495726495
arms,0.995726495726495
builder,0.995726495726495
electric,0.995726495726495
top,0.995708154506437
reading,0.995708154506437
watch,0.995708154506437
flash,0.995708154506437
given,0.995708154506437
works,0.995708154506437
kill,0.995689655172413
sleeping,0.995689655172413
angel,0.995689655172413
known,0.995689655172413
horrible,0.995670995670995
movie,0.995670995670995
pig,0.995670995670995
wall,0.995670995670995
our,0.995670995670995
bathroom,0.995670995670995
popular,0.995652173913043
official,0.995652173913043
sea,0.995652173913043
can,0.995652173913043
snow,0.995652173913043
then,0.995652173913043
criminal,0.995652173913043
knife,0.995652173913043
style,0.995652173913043
word,0.995633187772925
show,0.995633187772925
wear,0.995633187772925
possibly,0.995633187772925
concert,0.995633187772925
lost,0.995614035087719
white,0.995614035087719
dark,0.995614035087719
lover,0.995594713656387
box,0.995594713656387
click,0.995594713656387
planet,0.995594713656387
central,0.995594713656387
limited,0.995594713656387
activity,0.995594713656387
strange,0.995594713656387
cloud,0.995575221238938
take,0.995575221238938
boss,0.995575221238938
teaching,0.995575221238938
act,0.995575221238938
host,0.995575221238938
absolutely,0.995575221238938
celebration,0.995575221238938
once,0.995555555555555
honest,0.995535714285714
voice,0.995535714285714
romance,0.995535714285714
chicken,0.995535714285714
